url,title,author,book_title,Category,Subject,html_url,text_url,search_text
https://www.gutenberg.org/ebooks/13415,The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov,"Chekhov, Anton Pavlovich, 1860-1904",The Lady with the Dog and Other Stories,Text,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",https://www.gutenberg.org/ebooks/13415.html.images,https://www.gutenberg.org/ebooks/13415.txt.utf-8,"The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov Chekhov, Anton Pavlovich, 1860-1904 Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English"
https://www.gutenberg.org/ebooks/2781,Just so stories by Rudyard Kipling,"Kipling, Rudyard, 1865-1936",Just so stories,Text,Animals -- Fiction,https://www.gutenberg.org/ebooks/2781.html.images,https://www.gutenberg.org/ebooks/2781.txt.utf-8,"Just so stories by Rudyard Kipling Kipling, Rudyard, 1865-1936 Animals -- Fiction"
https://www.gutenberg.org/ebooks/64820,The Vibration Wasps by Frank Belknap Long,"Long, Frank Belknap, 1903-1994",The Vibration Wasps,Text,Jupiter (Planet) -- Fiction,https://www.gutenberg.org/ebooks/64820.html.images,https://www.gutenberg.org/ebooks/64820.txt.utf-8,"The Vibration Wasps by Frank Belknap Long Long, Frank Belknap, 1903-1994 Jupiter (Planet) -- Fiction"
https://www.gutenberg.org/ebooks/1934,Songs of Innocence and of Experience by William Blake,"Blake, William, 1757-1827",Songs of Innocence and of Experience,Text,English poetry -- 18th century,https://www.gutenberg.org/ebooks/1934.html.images,https://www.gutenberg.org/ebooks/1934.txt.utf-8,"Songs of Innocence and of Experience by William Blake Blake, William, 1757-1827 English poetry -- 18th century"
https://www.gutenberg.org/ebooks/1251,Le Morte d'Arthur: Volume 1 by Sir Thomas Malory,"Malory, Thomas, Sir, -1471",Le Morte d'Arthur: Volume 1,Text,"Arthur, King -- Legends",https://www.gutenberg.org/ebooks/1251.html.images,https://www.gutenberg.org/ebooks/1251.txt.utf-8,"Le Morte d'Arthur: Volume 1 by Sir Thomas Malory Malory, Thomas, Sir, -1471 Arthur, King -- Legends"
https://www.gutenberg.org/ebooks/7700,Lysistrata by Aristophanes,"Aristophanes, 447? BCE-386? BCE",Lysistrata,Text,Aristophanes -- Translations into English,https://www.gutenberg.org/ebooks/7700.html.images,https://www.gutenberg.org/ebooks/7700.txt.utf-8,"Lysistrata by Aristophanes Aristophanes, 447? BCE-386? BCE Aristophanes -- Translations into English"
https://www.gutenberg.org/ebooks/2701,"Moby Dick; Or, The Whale by Herman Melville","Melville, Herman, 1819-1891","Moby Dick; Or, The Whale",Text,Whaling ships -- Fiction,https://www.gutenberg.org/ebooks/2701.html.images,https://www.gutenberg.org/ebooks/2701.txt.utf-8,"Moby Dick; Or, The Whale by Herman Melville Melville, Herman, 1819-1891 Whaling ships -- Fiction"
https://www.gutenberg.org/ebooks/203,Uncle Tom's Cabin by Harriet Beecher Stowe,"Stowe, Harriet Beecher, 1811-1896",Uncle Tom's Cabin,Text,Enslaved persons -- Fiction,https://www.gutenberg.org/ebooks/203.html.images,https://www.gutenberg.org/ebooks/203.txt.utf-8,"Uncle Tom's Cabin by Harriet Beecher Stowe Stowe, Harriet Beecher, 1811-1896 Enslaved persons -- Fiction"
https://www.gutenberg.org/ebooks/12163,The Sleeper Awakes by H. G. Wells,"Wells, H. G. (Herbert George), 1866-1946",The Sleeper AwakesA Revised Edition of When the Sleeper Wakes,Text,Technological innovations -- Fiction,https://www.gutenberg.org/ebooks/12163.html.images,https://www.gutenberg.org/ebooks/12163.txt.utf-8,"The Sleeper Awakes by H. G. Wells Wells, H. G. (Herbert George), 1866-1946 Technological innovations -- Fiction"
https://www.gutenberg.org/ebooks/7849,The Trial by Franz Kafka,"Kafka, Franz, 1883-1924",The Trial,Text,Trials -- Fiction,https://www.gutenberg.org/ebooks/7849.html.images,https://www.gutenberg.org/ebooks/7849.txt.utf-8,"The Trial by Franz Kafka Kafka, Franz, 1883-1924 Trials -- Fiction"
https://www.gutenberg.org/ebooks/30283,The Sound of Silence by Barbara Constant,"Constant, Barbara",The Sound of Silence,Text,Psychic ability -- Fiction,https://www.gutenberg.org/ebooks/30283.html.images,https://www.gutenberg.org/ebooks/30283.txt.utf-8,"The Sound of Silence by Barbara Constant Constant, Barbara Psychic ability -- Fiction"
https://www.gutenberg.org/ebooks/67961,El arte de amar by Ovid,"Ovid, 44 BCE-18?",El arte de amar,Text,Man-woman relationships -- Rome -- Poetry,https://www.gutenberg.org/ebooks/67961.html.images,https://www.gutenberg.org/ebooks/67961.txt.utf-8,"El arte de amar by Ovid Ovid, 44 BCE-18? Man-woman relationships -- Rome -- Poetry"
https://www.gutenberg.org/ebooks/2833,The Portrait of a Lady — Volume 1 by Henry James,"James, Henry, 1843-1916",The Portrait of a Lady — Volume 1,Text,Americans -- Italy -- Fiction,https://www.gutenberg.org/ebooks/2833.html.images,https://www.gutenberg.org/ebooks/2833.txt.utf-8,"The Portrait of a Lady — Volume 1 by Henry James James, Henry, 1843-1916 Americans -- Italy -- Fiction"
https://www.gutenberg.org/ebooks/863,The Mysterious Affair at Styles by Agatha Christie,"Christie, Agatha, 1890-1976",The Mysterious Affair at Styles,Text,"Poirot, Hercule (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/863.html.images,https://www.gutenberg.org/ebooks/863.txt.utf-8,"The Mysterious Affair at Styles by Agatha Christie Christie, Agatha, 1890-1976 Poirot, Hercule (Fictitious character) -- Fiction"
https://www.gutenberg.org/ebooks/2148,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,"Poe, Edgar Allan, 1809-1849",The Works of Edgar Allan Poe — Volume 2,Text,American fiction -- 19th century,https://www.gutenberg.org/ebooks/2148.html.images,https://www.gutenberg.org/ebooks/2148.txt.utf-8,"The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe Poe, Edgar Allan, 1809-1849 American fiction -- 19th century"
https://www.gutenberg.org/ebooks/3296,The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,"Augustine, Saint, Bishop of Hippo, 354-430",The Confessions of St. Augustine,Text,Bishops -- Algeria -- Hippo (Extinct city) -- Biography,https://www.gutenberg.org/ebooks/3296.html.images,https://www.gutenberg.org/ebooks/3296.txt.utf-8,"The Confessions of St. Augustine by Bishop of Hippo Saint Augustine Augustine, Saint, Bishop of Hippo, 354-430 Bishops -- Algeria -- Hippo (Extinct city) -- Biography"
https://www.gutenberg.org/ebooks/57551,Confidential Chats with Girls by William Lee Howard,"Howard, William Lee, 1860-1918",Confidential Chats with Girls,Text,Sex instruction,https://www.gutenberg.org/ebooks/57551.html.images,https://www.gutenberg.org/ebooks/57551.txt.utf-8,"Confidential Chats with Girls by William Lee Howard Howard, William Lee, 1860-1918 Sex instruction"
https://www.gutenberg.org/ebooks/2868,The Green Mummy by Fergus Hume,"Hume, Fergus, 1859-1932",The Green Mummy,Text,Detective and mystery stories,https://www.gutenberg.org/ebooks/2868.html.images,https://www.gutenberg.org/ebooks/2868.txt.utf-8,"The Green Mummy by Fergus Hume Hume, Fergus, 1859-1932 Detective and mystery stories"
https://www.gutenberg.org/ebooks/175,The Phantom of the Opera by Gaston Leroux,"Leroux, Gaston, 1868-1927",The Phantom of the Opera,Text,French fiction -- Translations into English,https://www.gutenberg.org/ebooks/175.html.images,https://www.gutenberg.org/ebooks/175.txt.utf-8,"The Phantom of the Opera by Gaston Leroux Leroux, Gaston, 1868-1927 French fiction -- Translations into English"
https://www.gutenberg.org/ebooks/696,The Castle of Otranto by Horace Walpole,"Walpole, Horace, 1717-1797",The Castle of Otranto,Text,Gothic fiction,https://www.gutenberg.org/ebooks/696.html.images,https://www.gutenberg.org/ebooks/696.txt.utf-8,"The Castle of Otranto by Horace Walpole Walpole, Horace, 1717-1797 Gothic fiction"
https://www.gutenberg.org/ebooks/58866,The Murder on the Links by Agatha Christie,"Christie, Agatha, 1890-1976",The Murder on the Links,Text,"Poirot, Hercule (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/58866.html.images,https://www.gutenberg.org/ebooks/58866.txt.utf-8,"The Murder on the Links by Agatha Christie Christie, Agatha, 1890-1976 Poirot, Hercule (Fictitious character) -- Fiction"
https://www.gutenberg.org/ebooks/11982,Eighty Years and More; Reminiscences 1815-1897 by Elizabeth Cady Stanton,"Stanton, Elizabeth Cady, 1815-1902",Eighty Years and More; Reminiscences 1815-1897,Text,Feminism -- United States -- History -- 19th century,https://www.gutenberg.org/ebooks/11982.html.images,https://www.gutenberg.org/ebooks/11982.txt.utf-8,"Eighty Years and More; Reminiscences 1815-1897 by Elizabeth Cady Stanton Stanton, Elizabeth Cady, 1815-1902 Feminism -- United States -- History -- 19th century"
https://www.gutenberg.org/ebooks/500,The Adventures of Pinocchio by Carlo Collodi,"Collodi, Carlo, 1826-1890",The Adventures of Pinocchio,Text,Pinocchio (Fictitious character) -- Juvenile fiction,https://www.gutenberg.org/ebooks/500.html.images,https://www.gutenberg.org/ebooks/500.txt.utf-8,"The Adventures of Pinocchio by Carlo Collodi Collodi, Carlo, 1826-1890 Pinocchio (Fictitious character) -- Juvenile fiction"
https://www.gutenberg.org/ebooks/59827,"My Life and Loves, Vol. 1 (of 4) by Frank Harris","Harris, Frank, 1856-1931","My Life and Loves, Vol. 1 (of 4)",Text,Men -- Sexual behavior -- Great Britain,https://www.gutenberg.org/ebooks/59827.html.images,https://www.gutenberg.org/ebooks/59827.txt.utf-8,"My Life and Loves, Vol. 1 (of 4) by Frank Harris Harris, Frank, 1856-1931 Men -- Sexual behavior -- Great Britain"
https://www.gutenberg.org/ebooks/16328,Beowulf: An Anglo-Saxon Epic Poem by J. Lesslie Hall,,Beowulf: An Anglo-Saxon Epic Poem,Text,Dragons -- Poetry,https://www.gutenberg.org/ebooks/16328.html.images,https://www.gutenberg.org/ebooks/16328.txt.utf-8,Beowulf: An Anglo-Saxon Epic Poem by J. Lesslie Hall Dragons -- Poetry
